N,P,K,temperature,humidity,ph,rainfall,label
74,60,42,26.8,72.85,6.57,177.74,jute
35,21,7,31.57,94.43,6.39,114.75,orange
15,58,24,34.6,53.9,6.0,163.15,pigeonpeas
32,12,12,16.6,94.7,7.27,106.49,orange
33,77,20,18.72,18.64,5.72,86.63,kidneybeans
38,128,199,22.02,94.71,6.38,102.56,apple
115,83,47,25.06,80.6,6.53,111.58,banana
50,58,23,32.82,67.09,6.05,72.58,blackgram
47,59,84,20.29,19.7,7.45,86.47,chickpea
45,68,46,24.94,90.81,6.8,71.6,papaya
30,39,24,30.97,40.73,8.45,38.87,mothbeans
37,78,78,19.06,18.7,6.79,86.77,chickpea
61,51,52,34.88,94.65,6.69,53.89,papaya
42,56,21,34.51,66.02,7.23,87.11,blackgram
2,6,32,27.29,92.27,6.11,170.23,coconut
116,52,17,25.21,77.6,7.77,95.83,cotton
93,42,16,23.57,61.29,6.82,96.75,maize
48,58,21,27.57,69.63,6.73,85.15,blackgram
26,60,15,31.89,84.07,6.87,59.56,mungbean
16,60,15,20.89,69.76,6.8,73.59,lentil
3,7,38,23.49,92.08,6.79,105.17,pomegranate
102,12,46,26.87,89.43,6.79,54.87,watermelon
1,21,30,25.52,91.73,6.07,173.71,coconut
0,65,20,18.23,62.6,6.76,44.8,lentil
99,44,36,24.36,80.12,6.24,182.91,jute
87,22,27,24.23,56.13,6.83,179.4,coffee
16,26,29,36.08,52.14,6.41,91.19,mango
26,42,25,25.21,50.81,9.16,47.59,mothbeans
106,91,50,26.53,77.13,6.03,99.12,banana
109,9,46,28.8,93.12,6.65,21.34,muskmelon
36,80,20,21.26,40.89,4.55,190.57,pigeonpeas
38,25,35,26.3,99.7,5.93,177.8,coconut
39,27,34,32.89,48.75,5.93,89.06,mango
34,56,21,20.34,23.26,5.67,101.06,kidneybeans
60,69,83,20.78,19.1,6.49,80.77,chickpea
107,21,33,26.8,56.25,6.62,160.48,coffee
119,25,26,26.36,64.59,6.86,160.34,coffee
